event_id,match_nr,fighter1_url,fighter1_name,fighter2_url,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,referee,round,time
0,13,/fighter/Ciryl-Gane-293973,Ciryl Gane,/fighter/Derrick-Lewis-59284,Derrick Lewis,win,loss, TKO,Punches, Dan Miragliotta,3, 4:11
0,12,/fighter/Jose-Aldo-11506,Jose Aldo,/fighter/Pedro-Munhoz-52407,Pedro Munhoz,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
0,11,/fighter/Vicente-Luque-66474,Vicente Luque,/fighter/Michael-Chiesa-46224,Michael Chiesa,win,loss,Submission,Brabo Choke,Kerry Hatley,1,03:25
0,10,/fighter/Tecia-Torres-85096,Tecia Torres,/fighter/Angela-Hill-148517,Angela Hill,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
0,9,/fighter/Yadong-Song-103807,Yadong Song,/fighter/Casey-Kenney-211031,Casey Kenney,win,loss,Decision,Split,Dan Miragliotta,3,05:00
0,8,/fighter/Rafael-Fiziev-202657,Rafael Fiziev,/fighter/Bobby-Green-27953,Bobby Green,win,loss,Decision,Unanimous,Jacob Montalvo,3,05:00
0,7,/fighter/Vince-Morales-177019,Vince Morales,/fighter/Drako-Rodriguez-203421,Drako Rodriguez,win,loss,Decision,Unanimous,Jeff Rexroad,3,05:00
0,6,/fighter/Alonzo-Menifield-210501,Alonzo Menifield,/fighter/Ed-Herman-6561,Ed Herman,win,loss,Decision,Unanimous,Kerry Hatley,3,05:00
0,5,/fighter/Jessica-Penne-21247,Jessica Penne,/fighter/Karolina-Kowalkiewicz-101401,Karolina Kowalkiewicz,win,loss,Submission,Armbar,Mike Beltran,1,04:32
0,4,/fighter/Manel-Kape-101189,Manel Kape,/fighter/Ode-Osbourne-137969,Ode Osbourne,win,loss,KO,Flying Knee and Punches,Jeff Rexroad,1,04:44
0,3,/fighter/Miles-Johns-172691,Miles Johns,/fighter/Anderson-dos-Santos-95053,Anderson dos Santos,win,loss,KO,Punch,Kerry Hatley,3,01:16
0,2,/fighter/Melissa-Gatto-193547,Melissa Gatto,/fighter/Victoria-Leonardo-212725,Victoria Leonardo,win,loss,TKO,Arm Injury,Jacob Montalvo,2,05:00
0,1,/fighter/Johnny-Munoz-Jr-195507,Johnny Munoz Jr.,/fighter/Jamey-Simmons-237195,Jamey Simmons,win,loss,Submission,Rear-Naked Choke,Jeff Rexroad,2,02:35
1,10,/fighter/Sean-Strickland-30452,Sean Strickland,/fighter/Uriah-Hall-14210,Uriah Hall,win,loss, Decision,Unanimous, Herb Dean,5, 5:00
1,9,/fighter/Cheyanne-Buys-152049,Cheyanne Buys,/fighter/Gloria-de-Paula-230933,Gloria de Paula,win,loss,TKO,Head Kick and Punches,Mark Smith,1,01:00
1,8,/fighter/Jared-Gooden-187959,Jared Gooden,/fighter/Niklas-Stolze-163897,Niklas Stolze,win,loss,KO,Punch,Herb Dean,1,01:08
1,7,/fighter/Melsik-Baghdasaryan-164681,Melsik Baghdasaryan,/fighter/Collin-Anglin-280415,Collin Anglin,win,loss,KO,Head Kick and Punches,Mark Smith,2,01:50
1,6,/fighter/Jason-Witt-127671,Jason Witt,/fighter/Bryan-Barberena-51471,Bryan Barberena,win,loss,Decision,Majority,Keith Peterson,3,05:00
1,5,/fighter/Chris-Gruetzemacher-36924,Chris Gruetzemacher,/fighter/Rafa-Garcia-186049,Rafa Garcia,win,loss,Decision,Unanimous,Chris Tognoni,3,05:00
1,4,/fighter/Danny-Chavez-59478,Danny Chavez,/fighter/Kai-Kamaka-III-117585,Kai Kamaka III,draw,draw,Draw,Majority,Herb Dean,3,05:00
1,3,/fighter/Jinh-Yu-Frey-85549,Jinh Yu Frey,/fighter/Ashley-Yoder-39298,Ashley Yoder,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
1,2,/fighter/Zarrukh-Adashev-126877,Zarrukh Adashev,/fighter/Ryan-Benoit-48566,Ryan Benoit,win,loss,Decision,Unanimous,Mark Smith,3,05:00
1,1,/fighter/Philip-Rowe-121067,Philip Rowe,/fighter/Orion-Cosce-156917,Orion Cosce,win,loss,TKO,Punches,Chris Tognoni,2,04:21
2,11,/fighter/TJ-Dillashaw-62507,T.J. Dillashaw,/fighter/Cory-Sandhagen-112869,Cory Sandhagen,win,loss, Decision,Split, Herb Dean,5, 5:00
2,10,/fighter/Raulian-Paiva-167575,Raulian Paiva,/fighter/Kyler-Phillips-190919,Kyler Phillips,win,loss,Decision,Majority,Keith Peterson,3,05:00
2,9,/fighter/Darren-Elkins-22094,Darren Elkins,/fighter/Darrick-Minner-92115,Darrick Minner,win,loss,TKO,Punches,Mark Smith,2,03:48
2,8,/fighter/Maycee-Barber-253613,Maycee Barber,/fighter/Miranda-Maverick-230031,Miranda Maverick,win,loss,Decision,Split,Herb Dean,3,05:00
2,7,/fighter/Adrian-Yanez-86354,Adrian Yanez,/fighter/Randy-Costa-189731,Randy Costa,win,loss,TKO,Punches,Chris Tognoni,2,02:11
2,6,/fighter/Brendan-Allen-201703,Brendan Allen,/fighter/Punahele-Soriano-230239,Punahele Soriano,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
2,5,/fighter/Nassourdine-Imavov-217405,Nassourdine Imavov,/fighter/Ian-Heinisch-187341,Ian Heinisch,win,loss,TKO,Punches,Mark Smith,2,03:09
2,4,/fighter/Mickey-Gall-160145,Mickey Gall,/fighter/Jordan-Williams-70941,Jordan Williams,win,loss,Submission,Rear-Naked Choke,Herb Dean,1,02:57
2,3,/fighter/Julio-Arce-71299,Julio Arce,/fighter/Andre-Ewell-204397,Andre Ewell,win,loss,TKO,Punches,Chris Tognoni,2,03:45
2,2,/fighter/Sijara-Eubanks-193533,Sijara Eubanks,/fighter/Elise-Reed-278133,Elise Reed,win,loss,TKO,Punches,Mark Smith,1,03:49
2,1,/fighter/Diana-Belbita-174381,Diana Belbita,/fighter/Hannah-Goldy-204879,Hannah Goldy,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
3,10,/fighter/Islam-Makhachev-76836,Islam Makhachev,/fighter/Thiago-Moises-130351,Thiago Moises,win,loss, Submission,Rear-Naked Choke, Herb Dean,4, 2:38
3,9,/fighter/Miesha-Tate-26252,Miesha Tate,/fighter/Marion-Reneau-61266,Marion Reneau,win,loss,TKO,Punches,Mark Smith,3,01:53
3,8,/fighter/Mateusz-Gamrot-90605,Mateusz Gamrot,/fighter/Jeremy-Stephens-12179,Jeremy Stephens,win,loss,Submission,Kimura,Mike Beltran,1,01:05
3,7,/fighter/Rodolfo-Vieira-137167,Rodolfo Vieira,/fighter/Dustin-Stoltzfus-113779,Dustin Stoltzfus,win,loss,Submission,Rear-Naked Choke,Herb Dean,3,01:54
3,6,/fighter/Billy-Quarantillo-68076,Billy Quarantillo,/fighter/Gabriel-Benitez-25733,Gabriel Benitez,win,loss,TKO,Punches,Mark Smith,3,03:40
3,5,/fighter/Daniel-Rodriguez-145945,Daniel Rodriguez,/fighter/Preston-Parsons-173219,Preston Parsons,win,loss,TKO,Punches,Mike Beltran,1,03:47
3,4,/fighter/Amanda-Lemos-173973,Amanda Lemos,/fighter/Montserrat-Ruiz-175799,Montserrat Ruiz,win,loss,TKO,Punches,Chris Tognoni,1,00:35
3,3,/fighter/Sergey-Morozov-89693,Sergey Morozov,/fighter/Khalid-Taha-117849,Khalid Taha,win,loss,Decision,Unanimous,Herb Dean,3,05:00
3,2,/fighter/Malcolm-Gordon-113429,Malcolm Gordon,/fighter/Francisco-Figueiredo-69484,Francisco Figueiredo,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
3,1,/fighter/Rodrigo-Nascimento-97975,Rodrigo Nascimento,/fighter/Alan-Baudot-138183,Alan Baudot,win,loss,TKO,Punches,Chris Tognoni,2,01:29
4,12,/fighter/Dustin-Poirier-50529,Dustin Poirier,/fighter/Conor-McGregor-29688,Conor McGregor,win,loss, TKO,Leg Injury, Herb Dean,1, 5:00
4,11,/fighter/Gilbert-Burns-91727,Gilbert Burns,/fighter/Stephen-Thompson-59608,Stephen Thompson,win,loss,Decision,Unanimous,Marc Goddard,3,05:00
4,10,/fighter/Tai-Tuivasa-133745,Tai Tuivasa,/fighter/Greg-Hardy-271461,Greg Hardy,win,loss,KO,Punches,Mark Smith,1,01:07
4,9,/fighter/Irene-Aldana-148377,Irene Aldana,/fighter/Yana-Kunitskaya-49412,Yana Kunitskaya,win,loss,TKO,Punches,Jason Herzog,1,04:35
4,8,/fighter/Sean-OMalley-135099,Sean O'Malley,/fighter/Kris-Moutinho-126341,Kris Moutinho,win,loss,TKO,Punches,Herb Dean,3,04:33
4,7,/fighter/Max-Griffin-53904,Max Griffin,/fighter/Carlos-Condit-6765,Carlos Condit,win,loss,Decision,Unanimous,Marc Goddard,3,05:00
4,6,/fighter/Michel-Pereira-135705,Michel Pereira,/fighter/Niko-Price-96921,Niko Price,win,loss,Decision,Unanimous,Mark Smith,3,05:00
4,5,/fighter/Ilia-Topuria-202445,Ilia Topuria,/fighter/Ryan-Hall-15962,Ryan Hall,win,loss,KO,Punches,Jason Herzog,1,04:47
4,4,/fighter/Dricus-Du-Plessis-146193,Dricus Du Plessis,/fighter/Trevin-Giles-111237,Trevin Giles,win,loss,KO,Punches,Chris Tognoni,2,01:41
4,3,/fighter/Jennifer-Maia-57135,Jennifer Maia,/fighter/Jessica-Eye-39575,Jessica Eye,win,loss,Decision,Unanimous,Herb Dean,3,05:00
4,2,/fighter/Brad-Tavares-33095,Brad Tavares,/fighter/Omari-Akhmedov-83462,Omari Akhmedov,win,loss,Decision,Split,Marc Goddard,3,05:00
4,1,/fighter/Zhalgas-Zhumagulov-176945,Zhalgas Zhumagulov,/fighter/Jerome-Rivera-139017,Jerome Rivera,win,loss,Submission,Guillotine Choke,Chris Tognoni,1,02:02
5,13,/fighter/Ciryl-Gane-293973,Ciryl Gane,/fighter/Alexander-Volkov-40951,Alexander Volkov,win,loss, Decision,Unanimous, Herb Dean,5, 5:00
5,12,/fighter/Tanner-Boser-114961,Tanner Boser,/fighter/Ovince-St-Preux-38842,Ovince St. Preux,win,loss,KO,Punches,Jason Herzog,2,02:31
5,11,/fighter/Timur-Valiev-70605,Timur Valiev,/fighter/Raoni-Barcelos-94587,Raoni Barcelos,win,loss,Decision,Majority,Mike Beltran,3,05:00
5,10,/fighter/Andre-Fili-58385,Andre Fili,/fighter/Daniel-Pineda-21564,Daniel Pineda,NC,NC,No Contest,Accidental Eye Poke,Herb Dean,2,00:46
5,9,/fighter/Tim-Means-11281,Tim Means,/fighter/Nicolas-Dalby-63608,Nicolas Dalby,win,loss,Decision,Unanimous,Jason Herzog,3,05:00
5,8,/fighter/Renato-Carneiro-61700,Renato Carneiro,/fighter/Jai-Herbert-168551,Jai Herbert,win,loss,Submission,Rear-Naked Choke,Chris Tognoni,2,04:34
5,7,/fighter/Kennedy-Nzechukwu-212289,Kennedy Nzechukwu,/fighter/Danilo-Marques-172145,Danilo Marques,win,loss,TKO,Punches,Jason Herzog,3,00:20
5,6,/fighter/Shavkat-Rakhmonov-179185,Shavkat Rakhmonov,/fighter/Michel-Prazeres-22218,Michel Prazeres,win,loss,Submission,Rear-Naked Choke,Mike Beltran,2,02:10
5,5,/fighter/Jeremiah-Wells-80157,Jeremiah Wells,/fighter/Warlley-Alves-70750,Warlley Alves,win,loss,KO,Punches,Chris Tognoni,2,00:30
5,4,/fighter/Marcin-Prachnio-141251,Marcin Prachnio,/fighter/Isaac-Villanueva-41384,Isaac Villanueva,win,loss,KO,Body Kick,Herb Dean,2,00:56
5,3,/fighter/Julia-Avila-91159,Julia Avila,/fighter/Julija-Stoliarenko-143533,Julija Stoliarenko,win,loss,Submission,Rear-Naked Choke,Jason Herzog,3,04:19
