id,fighter_name,nickname,birth_date,age,country,height_cm,weight_kg,association,weight_class,wins,losses
/fighter/Kharun-Atlangeriev-167431,Kharun Atlangeriev,Predator,05/10/1992,28,Russia,177.8,70.31,OFS Team,Lightweight,11,11
/fighter/Shojin-Miki-157565,Shojin Miki,Mini Margarito,,,United States,175.26,56.7,HMC Academy,Flyweight,6,6
/fighter/Ryan-Keenan-33827,Ryan Keenan,Who Dat?,15/06/1985,36,United States,182.88,70.31,Gracie Orlando,Lightweight,6,6
/fighter/Dustin-Jacoby-73825,Dustin Jacoby,The Hanyak,04/04/1988,33,United States,193.04,92.99,Factory X,Light Heavyweight,14,14
/fighter/Richardson-Moreira-72825,Richardson Moreira,Rick Monstro,31/03/1984,37,Brazil,187.96,92.99,Team Nogueira,Light Heavyweight,8,8
/fighter/Chris-Haseman-1449,Chris Haseman,The Hammer,02/06/1969,52,Australia,180.34,89.81,Rings Australia,Light Heavyweight,20,20
/fighter/Fares-Ziam-184241,Fares Ziam,Smile Killer,21/03/1997,24,France,182.88,70.31,Team Ezbiri,Lightweight,12,12
/fighter/James-Bochnovic-130011,James Bochnovic,,13/02/1989,32,United States,193.04,83.91,Rothwell MMA,Middleweight,10,10
/fighter/Adrian-Pang-8427,Adrian Pang,The Hunter,02/09/1977,43,Papua New Guinea,170.18,70.31,Integrated MMA,Lightweight,23,23
/fighter/Haobin-Ma-214849,Haobin Ma,The Southern Eagle,23/01/1994,27,China,0.0,56.7,Jincan Defense Club,Flyweight,13,13
/fighter/Lance-Everson-10333,Lance Everson,,,,United States,175.26,83.91,Boneyard,Middleweight,11,11
/fighter/Journey-Newson-77464,Journey Newson,,07/03/1989,32,United States,165.1,61.23,Impact Jiu Jitsu,Bantamweight,9,9
/fighter/Christian-Wellisch-3328,Christian Wellisch,,,,United States,187.96,106.14,American Kickboxing Academy,Heavyweight,8,8
/fighter/Ryuichiro-Sumimura-56159,Ryuichiro Sumimura,,14/02/1986,35,Japan,180.34,77.11,Independent,Welterweight,18,18
/fighter/Michael-Chiesa-46224,Michael Chiesa,Maverick,07/12/1987,33,United States,185.42,77.11,Sikjitsu,Welterweight,18,18
/fighter/Klidson-Abreu-111535,Klidson Abreu,White Bear,24/12/1992,28,Brazil,187.96,92.99,Evolucao Thai,Light Heavyweight,15,15
/fighter/John-Kolosci-9062,John Kolosci,,26/11/1974,46,United States,180.34,70.31,Gilbert Grappling,Lightweight,15,15
/fighter/Giorgio-Pietrini-117093,Giorgio Pietrini,,23/06/1991,30,Italy,182.88,77.11,Rendoki Dojo,Welterweight,16,16
/fighter/Sidemar-Honorio-20757,Sidemar Honorio,Sideco Honor,05/05/1980,41,Brazil,170.18,57.15,Renzo Gracie Philly,Flyweight,13,13
/fighter/Sultan-Umar-222829,Sultan Umar,,08/02/1986,35,United States,185.42,77.11,Midwest Training Center,Welterweight,6,6
/fighter/Xavier-Siller-126081,Xavier Siller,Young Guns,06/06/1994,27,United States,165.1,56.7,,Flyweight,7,7
/fighter/Allen-Chong-157773,Allen Chong,Solomon,30/05/1982,39,Malaysia,167.64,70.31,Borneo Tribal Squad,Lightweight,3,3
/fighter/Michael-McBride-109357,Michael McBride,,,,United States,185.42,70.31,,Lightweight,8,8
/fighter/Iuri-Lapicus-183533,Iuri Lapicus,,22/10/1995,25,Moldova,180.34,77.11,Team Petrosyan,Welterweight,14,14
/fighter/Andrea-Fusi-221273,Andrea Fusi,Il Barbaro,16/12/1991,29,Italy,177.8,77.11,Clan Mano di Pietra,Welterweight,8,8
/fighter/Craig-Fairley-213671,Craig Fairley,Showtime,25/03/1992,29,United States,0.0,70.31,Laselva MMA,Lightweight,3,3
/fighter/Karlos-Vemola-40238,Karlos Vemola,The Terminator,01/07/1985,36,Czech Republic,182.88,92.99,London Shootfighters,Light Heavyweight,31,31
/fighter/Honorio-Banario-62423,Honorio Banario,The Rock,25/09/1989,31,Philippines,175.26,70.31,Lakay MMA,Lightweight,15,15
/fighter/Mahmoud-Deab-Mohamed-127015,Mahmoud Deab Mohamed,,,,Egypt,0.0,70.31,,Lightweight,3,3
/fighter/Nicolas-Dalby-63608,Nicolas Dalby,Danish Dynamite,16/11/1984,36,Denmark,180.34,77.11,Rumble Sports,Welterweight,19,19
/fighter/Zac-Church-105333,Zac Church,,12/11/1987,33,United States,172.72,65.77,The Factory Tulsa,Featherweight,9,9
/fighter/Ying-Qiang-Yang-323489,Ying Qiang Yang,The Pangolin,,,China,167.64,56.7,Super Gain Fighting Gym,Flyweight,1,1
/fighter/Alessio-Sakara-5366,Alessio Sakara,Legionarius,02/09/1981,39,Italy,185.42,92.99,American Top Team,Light Heavyweight,21,21
/fighter/Ahmed-White-284463,Ahmed White,,,,United States,180.34,85.28,Rogue Empire MMA,Light Heavyweight,0,0
/fighter/Andrew-Natividad-82464,Andrew Natividad,,03/02/1990,31,United States,167.64,61.23,Escondido Fight Club,Bantamweight,9,9
/fighter/Xie-Xiaoxiang-302775,Xie Xiaoxiang,Keyboard Man,,,China,193.04,77.11,AMA Shanghai,Welterweight,1,1
/fighter/Daniel-Spitz-172211,Daniel Spitz,Daddy Long Legs,31/07/1990,31,United States,200.66,108.86,Sikjitsu,Heavyweight,6,6
/fighter/Steven-Ray-59838,Steven Ray,Braveheart,25/03/1990,31,Scotland,177.8,70.31,Higher Level MMA,Lightweight,23,23
/fighter/Melvin-Yeoh-88785,Melvin Yeoh,Overkill,05/01/1981,40,Malaysia,170.18,65.77,Ultimate MMA Academy,Featherweight,7,7
/fighter/Kenneth-Battle-20889,Kenneth Battle,,,,United States,0.0,70.31,,Lightweight,2,2
/fighter/Guangyou-Ning-26389,Guangyou Ning,Smasher,15/12/1981,39,China,165.1,65.77,Tiger Muay Thai,Featherweight,5,5
/fighter/Philipe-Lins-61438,Philipe Lins,Monstro,17/08/1985,35,Brazil,185.42,106.14,Kimura Nova Uniao,Heavyweight,14,14
/fighter/Benson-Henderson-20548,Benson Henderson,Smooth,16/11/1983,37,United States,175.26,77.11,MMA Lab,Welterweight,28,28
/fighter/Keoni-Diggs-60630,Keoni Diggs,,19/11/1986,34,United States,175.26,65.77,MMA Lab,Featherweight,9,9
/fighter/Luping-Wang-319997,Luping Wang,Little Sprouts,,,China,157.48,52.16,Sihai Liancheng Fight Gym,Strawweight,3,3
/fighter/Itay-Tratner-306575,Itay Tratner,,10/10/2000,20,Israel,172.72,65.77,MMA Black Belt,Featherweight,3,3
/fighter/Brian-Melancon-43621,Brian Melancon,,28/05/1982,39,United States,172.72,77.11,Paradigm Training Center,Welterweight,7,7
/fighter/Chiara-Penco-252967,Chiara Penco,Beasty Barbie,21/11/1995,25,Italy,162.56,52.16,Rendoki Dojo,Strawweight,5,5
/fighter/Joe-Solecki-227993,Joe Solecki,,27/08/1993,27,United States,175.26,70.31,Gym-O,Lightweight,11,11
/fighter/Nissen-Osterneck-17591,Nissen Osterneck,,01/05/1981,40,United States,187.96,83.91,Relson Gracie Jiu-Jitsu,Middleweight,13,13
/fighter/Raimond-Magomedaliev-191869,Raimond Magomedaliev,,10/06/1990,31,Russia,190.5,77.11,Eagles MMA,Welterweight,8,8
/fighter/Randa-Markos-75417,Randa Markos,Quiet Storm,10/08/1985,36,Canada,165.1,52.16,Michigan Top Team,Strawweight,10,10
/fighter/Klayton-Mai-84701,Klayton Mai,The Python,30/11/1986,34,United States,175.26,56.7,Octagon MMA,Flyweight,8,8
/fighter/Matt-Arroyo-19456,Matt Arroyo,No Regard,01/09/1982,38,United States,182.88,77.11,Gracie Tampa South,Welterweight,3,3
/fighter/Krzysztof-Soszynski-9178,Krzysztof Soszynski,The Polish Experiment,02/08/1977,44,Canada,185.42,92.99,Reign MMA,Light Heavyweight,26,26
/fighter/Josh-Hill-53662,Josh Hill,Gentleman,24/11/1986,34,Canada,167.64,61.23,Vision Quest MMA & Fitness,Bantamweight,20,20
/fighter/Paul-Ruiz-62183,Paul Ruiz,,23/06/1987,34,United States,167.64,61.23,Team Alpha Male,Bantamweight,7,7
/fighter/Chan-Sung-Jung-36155,Chan Sung Jung,The Korean Zombie,17/03/1987,34,South Korea,175.26,65.77,Fight Ready,Featherweight,17,17
/fighter/Luis-Santos-16216,Luis Santos,Sapo,02/01/1980,41,Brazil,185.42,77.11,American Top Team,Welterweight,65,65
/fighter/Samang-Dun-136719,Samang Dun,,,,Cambodia,167.64,64.86,A Fighter,Featherweight,5,5
/fighter/Rodolfo-Vieira-137167,Rodolfo Vieira,The Black Belt Hunter,25/09/1989,31,Brazil,180.34,83.91,Fusion X-Cel,Middleweight,8,8
/fighter/Ikuhisa-Minowa-250,Ikuhisa Minowa,Minowaman,12/01/1976,45,Japan,175.26,83.91,Kuma Gym,Middleweight,62,62
/fighter/Amran-Aliyev-113801,Amran Aliyev,,17/10/1990,30,United States,175.26,66.22,Team Bombsquad,Featherweight,3,3
/fighter/Michael-Benjamin-Putnam-37329,Michael Benjamin Putnam,Too Pretty,07/12/1987,33,United States,172.72,65.77,Team Titan PA,Featherweight,2,2
/fighter/Rodrigo-Lima-38280,Rodrigo Lima,Ratinho,09/05/1991,30,Brazil,172.72,61.23,American Top Team,Bantamweight,13,13
/fighter/Josh-Emmett-85885,Josh Emmett,,04/03/1985,36,United States,167.64,65.77,Team Alpha Male,Featherweight,16,16
/fighter/Aaron-Riley-1567,Aaron Riley,,09/12/1980,40,United States,175.26,70.31,Jackson-Wink MMA,Lightweight,30,30
/fighter/Tony-Kelley-57658,Tony Kelley,PrimeTime,21/01/1987,34,United States,177.8,65.77,Team Alpha Male,Featherweight,7,7
/fighter/Douglas-Lima-17236,Douglas Lima,The Phenom,05/01/1988,33,Brazil,185.42,77.11,American Top Team Atlanta,Welterweight,32,32
/fighter/Yvonne-Reis-47071,Yvonne Reis,,26/05/1965,56,United States,0.0,65.77,,Featherweight,0,0
/fighter/Santiago-Ponzinibbio-64593,Santiago Ponzinibbio,Argentine Dagger,26/09/1986,34,Argentina,182.88,77.11,American Top Team,Welterweight,28,28
/fighter/Justin-James-1926,Justin James,Pretty Boy,,,USA,177.8,70.31,,Lightweight,13,13
/fighter/Leslie-Smith-46542,Leslie Smith,The Peacemaker,17/08/1982,38,United States,175.26,65.77,Cesar Gracie Fight Team,Featherweight,12,12
/fighter/Jess-Liaudin-3368,Jess Liaudin,Joker,,,France,175.26,77.11,Pancrase London,Welterweight,20,20
/fighter/Daniel-Cassell-147021,Daniel Cassell,Pork Chop,26/04/1991,30,England,177.8,77.11,UTC Staffs,Welterweight,4,4
/fighter/Anthony-Lapsley-18590,Anthony Lapsley,The Recipe,13/02/1980,41,United States,175.26,77.11,,Welterweight,23,23
/fighter/Michelle-Ould-22532,Michelle Ould,T-Cat,30/09/1981,39,United States,157.48,59.42,Team Quest,Bantamweight,7,7
/fighter/Cat-Zingano-33932,Cat Zingano,Alpha,01/07/1982,39,United States,167.64,65.77,Zingano Brazilian Jiu-Jitsu,Featherweight,12,12
/fighter/Steven-Siler-22537,Steven Siler,Super,15/02/1987,34,United States,180.34,65.77,Factory X,Featherweight,32,32
/fighter/Austin-Clem-303227,Austin Clem,The King,05/12/1992,28,United States,182.88,70.31,Team Fusion Jiu-Jitsu & MMA,Lightweight,4,4
/fighter/Chad-Cook-2839,Chad Cook,,,,United States,187.96,99.79,,Heavyweight,10,10
/fighter/TJ-Sumler-53677,T.J. Sumler,The Hyttman,,,United States,0.0,77.11,WNY MMA,Welterweight,5,5
/fighter/Richie-Vaculik-21798,Richie Vaculik,Vas,19/06/1983,38,Australia,167.64,56.7,TP Fight Team,Flyweight,10,10
/fighter/Johnny-Campbell-59957,Johnny Campbell,Cupcakes,25/03/1987,34,United States,167.64,61.23,South Shore Sport Fighting,Bantamweight,21,21
/fighter/Norifumi-Yamamoto-1354,Norifumi Yamamoto,Kid,15/03/1977,,Japan,162.56,61.23,Krazy Bee,Bantamweight,18,18
/fighter/Will-Fleury-149881,Will Fleury,,13/03/1989,32,Ireland,190.5,83.91,SBG Ireland,Middleweight,8,8
/fighter/Hiroshi-Nakamura-12076,Hiroshi Nakamura,Iron,14/02/1981,40,Japan,165.1,60.78,Carpe Diem Brazilian Jiu-Jitsu,Bantamweight,16,16
/fighter/Dietter-Navarro-71520,Dietter Navarro,,15/01/1982,39,United States,175.26,70.31,American Top Team,Lightweight,2,2
/fighter/Ye-Yint-Aung-219073,Ye  Yint Aung,,07/04/1990,31,Myanmar,175.26,70.31,,Lightweight,1,1
/fighter/Reant-Febriza-Rainir-191611,Reant Febriza Rainir,No Mercy,26/02/1989,32,Indonesia,175.26,77.56,Tigershark Fighting Academy,Welterweight,0,0
/fighter/Keremuaili-Maimaitituoheti-227225,Keremuaili Maimaitituoheti,The Mountain Eagle,18/03/1991,30,China,170.18,61.23,Dacheng Wuyi,Bantamweight,11,11
/fighter/Mehdi-Barghi-279243,Mehdi Barghi,,,,Iran,182.88,119.75,AAA Team,Heavyweight,4,4
/fighter/Saw-Thae-Oo-201681,Saw Thae Oo,,,,Myanmar,167.64,70.31,S.T.L,Lightweight,0,0
/fighter/Tang-De-Pan-214721,Tang De Pan,,06/06/1992,29,China,162.56,61.23,Hunan Provincial Sanda Team,Bantamweight,2,2
